,YEAR,WEEK,RANK,PLAYER,ATT,RUSH YDS,Y/A,LG,20+,RUSH TD,REC,TGT,REC YDS,Y/R,REC TD,FL,G,Zero PPR,Half PPR,One PPR,Unnamed: 20
1567,2020,2,44,J.K. Dobbins (BAL) ,2,48,24,44,3,0,1,1,13,13,0,0,1,6.1,6.6,7.1,0
510,2021,1,35,Cordarrelle Patterson (ATL) ,7,54,7.7,14,0,0,2,2,13,6.5,0,0,1,6.7,7.7,8.7,0
1380,2021,17,21,Chuba Hubbard (CAR) ,17,55,3.2,21,1,1,3,4,13,4.3,0,0,1,12.8,14.3,15.8,0
264,2022,4,15,Joe Mixon (CIN) ,24,61,2.5,7,0,1,4,4,13,3.3,0,0,1,13.4,15.4,17.4,0
1054,2021,11,11,Clyde Edwards-Helaire (KC) ,12,63,5.3,14,0,1,2,2,13,6.5,0,0,1,13.6,14.6,15.6,0
1834,2020,7,25,Darrell Henderson Jr. (LAR) ,15,63,4.2,11,0,0,2,2,13,6.5,0,0,1,7.6,8.6,9.6,0
159,2022,6,21,David Montgomery (CHI) ,15,67,4.5,13,0,0,1,1,13,13,0,0,1,8,8.5,9,0
1273,2021,15,22,Tony Pollard (DAL) ,12,74,6.2,17,0,0,3,3,13,4.3,0,0,1,8.7,10.2,11.7,0
1261,2021,15,6,James Robinson (NYJ) ,18,75,4.2,16,0,1,3,6,13,4.3,0,0,1,14.8,16.3,17.8,0
1269,2021,15,17,Justin Jackson (DET) ,13,86,6.6,22,1,0,1,1,13,13,0,0,1,9.9,10.4,10.9,0
145,2022,6,5,Kenneth Walker III (SEA) ,21,97,4.6,34,3,1,2,3,13,6.5,0,0,1,17,18,19,0
1533,2020,2,4,Leonard Fournette (TB) ,12,103,8.6,46,4,2,4,5,13,3.3,0,0,1,23.6,25.6,27.6,0
